feature,coefficient,abs_coefficient
text__targaryen,1.2574088013481741,1.2574088013481741
text__unico,1.2518448782889118,1.2518448782889118
text__de muita,1.2515092616160972,1.2515092616160972
text__nos,1.251284237818291,1.251284237818291
text__jogo,1.2508670838473908,1.2508670838473908
text__na parte,1.2494478664087947,1.2494478664087947
text__veio certinho,-1.249394891540256,1.249394891540256
text__recebi apenas,-1.2493528497288295,1.2493528497288295
text__fotos,1.2488922162238392,1.2488922162238392
text__consigo,1.2488793231272655,1.2488793231272655
text__outras pessoas,1.247141572862049,1.247141572862049
text__rádio,1.2469840368381964,1.2469840368381964
text__entrega antes,1.2459133380379035,1.2459133380379035
text__provavelmente,1.2446046564868516,1.2446046564868516
text__formato,1.243512576958491,1.243512576958491
text__recebi dois,1.2426635237050054,1.2426635237050054
text__recomendo,1.2423149307574852,1.2423149307574852
text__avalio,1.2408827869197863,1.2408827869197863
text__com,1.2405306391473199,1.2405306391473199
text__muito produto,1.2391128485439058,1.2391128485439058
text__recebi dentro,-1.238623689669619,1.238623689669619
text__linda,1.2381975765245576,1.2381975765245576
text__prático,1.2376945055581619,1.2376945055581619
text__faz,-1.237267641170115,1.237267641170115
text__confirmação,1.2372270304502375,1.2372270304502375
text__trocar,-1.235968361216274,1.235968361216274
tab__cat__product_category_main_fashio_female_clothing,-1.2353067846047754,1.2353067846047754
text__entrega muito,1.2350840372670926,1.2350840372670926
text__ela,-1.2334213737257416,1.2334213737257416
text__relógio lindo,-1.2329744867068693,1.2329744867068693
text__papel,1.231107437119675,1.231107437119675
text__eu comprei,-1.2310947343441825,1.2310947343441825
text__48,1.228472486317631,1.228472486317631
text__bom gostei,1.2274784537162362,1.2274784537162362
